0,okaduki,abc,c,051,3014,length,960,6,1020,https://atcoder.jp/contests/abc051/submissions/1055887
1,SriLankan,abc,c,051,3014,length,626,4,1020,https://atcoder.jp/contests/abc051/submissions/1056432
2,Hoi_koro,abc,c,051,3014,length,728,5,1148,https://atcoder.jp/contests/abc051/submissions/1056498
3,ak464tnok,abc,c,051,3014,length,345,89,1148,https://atcoder.jp/contests/abc051/submissions/1056546
4,ducktail,abc,c,051,3014,length,560,4,1020,https://atcoder.jp/contests/abc051/submissions/1056604
5,phykmqqq,abc,c,051,3014,length,850,4,1148,https://atcoder.jp/contests/abc051/submissions/1056795
6,autotaker,abc,c,051,3014,length,2601,4,1020,https://atcoder.jp/contests/abc051/submissions/1057059
7,yoshiyuki,abc,c,051,3014,length,1324,4,1020,https://atcoder.jp/contests/abc051/submissions/1057138
8,a143753,abc,c,051,3014,length,691,4,1020,https://atcoder.jp/contests/abc051/submissions/1057208
9,deka0106,abc,c,051,3014,length,543,4,1020,https://atcoder.jp/contests/abc051/submissions/1057480
10,lrmystp,abc,c,051,3014,length,1106,6,1020,https://atcoder.jp/contests/abc051/submissions/1127340
11,nmjiri,abc,c,051,3014,length,432,2,1148,https://atcoder.jp/contests/abc051/submissions/1127345
12,hsanno,abc,c,051,3014,length,382,2,1020,https://atcoder.jp/contests/abc051/submissions/1436011
13,aimy,abc,c,051,3014,length,409,2,1020,https://atcoder.jp/contests/abc051/submissions/1438016
14,you070707,abc,c,051,3014,length,395,3,1276,https://atcoder.jp/contests/abc051/submissions/1907985
15,amanuko,abc,c,051,3014,length,490,2,1020,https://atcoder.jp/contests/abc051/submissions/1908138
16,takoeight0821,abc,c,051,3014,length,1332,2,1020,https://atcoder.jp/contests/abc051/submissions/2325394
17,eliza0x,abc,c,051,3014,length,1089,2,1020,https://atcoder.jp/contests/abc051/submissions/2343203
18,mick0321,abc,c,051,3014,length,371,2,1020,https://atcoder.jp/contests/abc051/submissions/2854567
19,torus711,abc,c,051,3014,length,803,2,1020,https://atcoder.jp/contests/abc051/submissions/3055331
20,phykmqqq,abc,c,054,3014,length,886,3,1020,https://atcoder.jp/contests/abc054/submissions/1106299
21,y4imfdy2,abc,c,054,3014,length,1997,8,1020,https://atcoder.jp/contests/abc054/submissions/1106809
22,okaduki,abc,c,054,3014,length,1009,12,1788,https://atcoder.jp/contests/abc054/submissions/1107081
23,hillpeople,abc,c,054,3014,length,346,9,892,https://atcoder.jp/contests/abc054/submissions/1108546
24,lrmystp,abc,c,054,3014,length,1673,10,1020,https://atcoder.jp/contests/abc054/submissions/1109849
25,lrmystp,abc,c,054,3014,length,1599,10,1020,https://atcoder.jp/contests/abc054/submissions/1109850
26,lrmystp,abc,c,054,3014,length,1487,10,1020,https://atcoder.jp/contests/abc054/submissions/1109871
27,lrmystp,abc,c,054,3014,length,1507,10,1020,https://atcoder.jp/contests/abc054/submissions/1109877
28,lrmystp,abc,c,054,3014,length,1495,9,1020,https://atcoder.jp/contests/abc054/submissions/1109897
29,nmjiri,abc,c,054,3014,length,892,7,1020,https://atcoder.jp/contests/abc054/submissions/1111788
30,asfksjda,abc,c,054,3014,length,1550,9,1020,https://atcoder.jp/contests/abc054/submissions/1113986
31,g2_xpf,abc,c,054,3014,length,892,4,1532,https://atcoder.jp/contests/abc054/submissions/1270530
32,g2_xpf,abc,c,054,3014,length,902,4,1532,https://atcoder.jp/contests/abc054/submissions/1270610
33,aimy,abc,c,054,3014,length,1052,2,892,https://atcoder.jp/contests/abc054/submissions/1438316
34,aimy,abc,c,054,3014,length,1330,2,892,https://atcoder.jp/contests/abc054/submissions/1440688
35,okaduki,abc,c,054,3014,length,736,20,1020,https://atcoder.jp/contests/abc054/submissions/1688150
36,amanuko,abc,c,054,3014,length,1614,4,892,https://atcoder.jp/contests/abc054/submissions/1903243
37,eliza0x,abc,c,054,3014,length,1208,10,1020,https://atcoder.jp/contests/abc054/submissions/2478907
38,mick0321,abc,c,054,3014,length,913,7,1788,https://atcoder.jp/contests/abc054/submissions/2825652
39,you070707,abc,c,054,3014,length,510,18,1020,https://atcoder.jp/contests/abc054/submissions/2968099
40,yasuyuky,abc,c,057,3014,length,280,8,1020,https://atcoder.jp/contests/abc057/submissions/1182398
41,Naoki_M_,abc,c,057,3014,length,127,6,1020,https://atcoder.jp/contests/abc057/submissions/1182410
42,matonix,abc,c,057,3014,length,4709,8,1020,https://atcoder.jp/contests/abc057/submissions/1183491
43,phykmqqq,abc,c,057,3014,length,398,4,892,https://atcoder.jp/contests/abc057/submissions/1184647
44,hillpeople,abc,c,057,3014,length,169,7,1020,https://atcoder.jp/contests/abc057/submissions/1186628
45,lodnix,abc,c,057,3014,length,220,5,1020,https://atcoder.jp/contests/abc057/submissions/1189649
46,tomabou,abc,c,057,3014,length,179,6,1020,https://atcoder.jp/contests/abc057/submissions/1202822
47,tomabou,abc,c,057,3014,length,156,6,1020,https://atcoder.jp/contests/abc057/submissions/1202825
48,hiro13,abc,c,057,3014,length,237,3,764,https://atcoder.jp/contests/abc057/submissions/1207002
49,Yukiyoshi,abc,c,057,3014,length,239,7,1020,https://atcoder.jp/contests/abc057/submissions/1274352
50,aimy,abc,c,057,3014,length,318,3,508,https://atcoder.jp/contests/abc057/submissions/1454157
51,amanuko,abc,c,057,3014,length,248,6,1020,https://atcoder.jp/contests/abc057/submissions/1868759
52,you070707,abc,c,057,3014,length,212,8,1020,https://atcoder.jp/contests/abc057/submissions/1910831
53,mick0321,abc,c,057,3014,length,203,7,1020,https://atcoder.jp/contests/abc057/submissions/2822406
54,Gash788,abc,c,057,3014,length,345,3,892,https://atcoder.jp/contests/abc057/submissions/3099206
55,diax,abc,c,057,3014,length,179,7,1020,https://atcoder.jp/contests/abc057/submissions/3149790
56,lvs7k,abc,c,057,3014,length,384,3,892,https://atcoder.jp/contests/abc057/submissions/3326602
57,rds,abc,c,057,3014,length,684,4,1020,https://atcoder.jp/contests/abc057/submissions/4335584
58,hi_watana,abc,c,057,3014,length,179,3,892,https://atcoder.jp/contests/abc057/submissions/4392077
59,fellp1,abc,c,057,3014,length,135,7,1020,https://atcoder.jp/contests/abc057/submissions/4871732
60,phi16,abc,c,061,3014,length,403,1374,101756,https://atcoder.jp/contests/abc061/submissions/1279810
61,g2_xpf,abc,c,061,3014,length,849,1392,91260,https://atcoder.jp/contests/abc061/submissions/1281107
62,nmjiri,abc,c,061,3014,length,424,1270,89468,https://atcoder.jp/contests/abc061/submissions/1281607
63,aimy,abc,c,061,3014,length,290,1494,145788,https://atcoder.jp/contests/abc061/submissions/1282119
64,phykmqqq,abc,c,061,3014,length,628,1871,117628,https://atcoder.jp/contests/abc061/submissions/1282243
65,kiripon,abc,c,061,3014,length,652,1828,214396,https://atcoder.jp/contests/abc061/submissions/1284135
66,ak464tnok,abc,c,061,3014,length,575,1116,79612,https://atcoder.jp/contests/abc061/submissions/1284255
67,tmochizuki,abc,c,061,3014,length,410,1375,92540,https://atcoder.jp/contests/abc061/submissions/1284603
68,ykarako,abc,c,061,3014,length,918,1341,102780,https://atcoder.jp/contests/abc061/submissions/1285282
69,hillpeople,abc,c,061,3014,length,299,1300,99708,https://atcoder.jp/contests/abc061/submissions/1287036
70,Yukiyoshi,abc,c,061,3014,length,442,1520,131452,https://atcoder.jp/contests/abc061/submissions/1289058
71,Yukiyoshi,abc,c,061,3014,length,279,1521,131452,https://atcoder.jp/contests/abc061/submissions/1289067
72,david,abc,c,061,3014,length,506,1501,148860,https://atcoder.jp/contests/abc061/submissions/1293807
73,aimy,abc,c,061,3014,length,380,384,65916,https://atcoder.jp/contests/abc061/submissions/1335043
74,aimy,abc,c,061,3014,length,381,345,57724,https://atcoder.jp/contests/abc061/submissions/1335045
75,fromT,abc,c,061,3014,length,534,1714,99708,https://atcoder.jp/contests/abc061/submissions/1434022
76,okaduki,abc,c,061,3014,length,962,220,38268,https://atcoder.jp/contests/abc061/submissions/1688176
77,amanuko,abc,c,061,3014,length,633,320,49532,https://atcoder.jp/contests/abc061/submissions/1892541
78,you070707,abc,c,061,3014,length,367,1452,80124,https://atcoder.jp/contests/abc061/submissions/1915974
79,Lithium,abc,c,061,3014,length,1157,397,64892,https://atcoder.jp/contests/abc061/submissions/2252674
80,aimy,abc,c,064,3014,length,355,9,1148,https://atcoder.jp/contests/abc064/submissions/1342160
81,lodnix,abc,c,064,3014,length,1074,1,508,https://atcoder.jp/contests/abc064/submissions/1343701
82,lrmystp,abc,c,064,3014,length,1399,1,508,https://atcoder.jp/contests/abc064/submissions/1343937
83,kuretchi,abc,c,064,3014,length,829,2,892,https://atcoder.jp/contests/abc064/submissions/1344887
84,phykmqqq,abc,c,064,3014,length,832,2,1020,https://atcoder.jp/contests/abc064/submissions/1345250
85,neetsdkasu,abc,c,064,3014,length,385,2,892,https://atcoder.jp/contests/abc064/submissions/1346000
86,ykarako,abc,c,064,3014,length,734,2,1020,https://atcoder.jp/contests/abc064/submissions/1346311
87,ak464tnok,abc,c,064,3014,length,539,2,892,https://atcoder.jp/contests/abc064/submissions/1346646
88,hamukichi,abc,c,064,3014,length,887,2,1020,https://atcoder.jp/contests/abc064/submissions/1347549
89,hillpeople,abc,c,064,3014,length,228,2,1020,https://atcoder.jp/contests/abc064/submissions/1348347
90,Gash788,abc,c,064,3014,length,392,2,1020,https://atcoder.jp/contests/abc064/submissions/1358112
91,okwrtdsh,abc,c,064,3014,length,315,1,508,https://atcoder.jp/contests/abc064/submissions/1476619
92,okwrtdsh,abc,c,064,3014,length,229,2,1020,https://atcoder.jp/contests/abc064/submissions/1476623
93,okwrtdsh,abc,c,064,3014,length,201,2,1020,https://atcoder.jp/contests/abc064/submissions/1476628
94,hsanno,abc,c,064,3014,length,542,3,1020,https://atcoder.jp/contests/abc064/submissions/1688793
95,amanuko,abc,c,064,3014,length,684,2,1020,https://atcoder.jp/contests/abc064/submissions/1837516
96,you070707,abc,c,064,3014,length,572,2,1020,https://atcoder.jp/contests/abc064/submissions/1961068
97,sifi_border,abc,c,064,3014,length,475,2,892,https://atcoder.jp/contests/abc064/submissions/2049200
98,atctk,abc,c,064,3014,length,360,1,508,https://atcoder.jp/contests/abc064/submissions/2366260
99,moriiforfun,abc,c,064,3014,length,852,2,1020,https://atcoder.jp/contests/abc064/submissions/2414741
100,rqy,abc,c,070,3014,length,107,2,1020,https://atcoder.jp/contests/abc070/submissions/1505007
101,cojna,abc,c,070,3014,length,55,2,1020,https://atcoder.jp/contests/abc070/submissions/1505080
